Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
108,15,34,57,55,2.7,0
109,21,64,61,69,7.7,1
110,22,38,39,41,4.3,0
111,16,94,86,84,11.4,1
112,17,78,67,62,7.1,1
113,15,31,31,46,3.5,0
114,19,59,75,64,9.7,1
115,18,78,90,88,8.1,1
116,19,61,69,80,7.5,1
117,19,81,81,84,8.7,1
118,15,71,88,83,10.8,1
119,15,80,99,89,12.0,1
120,22,58,64,55,6.7,1
121,22,79,76,81,11.7,1
122,17,43,63,45,4.6,1
123,15,63,64,54,6.0,1
124,15,58,63,68,8.2,1
125,22,64,52,64,7.9,1
126,22,81,71,70,10.7,1
127,17,62,64,77,4.4,1
128,16,84,61,74,6.1,1
129,19,47,42,47,5.6,0
130,18,64,69,60,11.1,1
131,21,49,68,55,4.7,1
132,22,74,64,83,10.5,1
133,21,61,53,47,6.0,1
134,18,78,57,77,10.4,1
135,21,33,55,45,5.2,0
136,15,49,63,59,2.4,1
137,16,51,38,54,6.8,0
138,17,34,34,34,1.8,0
139,16,81,88,98,10.4,1
140,22,87,74,73,10.6,1
141,18,73,60,59,9.2,1
142,22,45,42,45,2.8,0
143,20,70,50,57,5.1,1
144,17,31,33,28,2.9,0
145,17,34,32,25,3.6,0
146,22,77,75,84,10.9,1
147,19,66,66,58,8.0,1
148,21,94,85,94,10.4,1
149,19,33,56,41,1.2,0
150,15,69,95,76,11.0,1
151,18,69,51,51,7.7,1
152,17,74,78,89,7.9,1
153,20,86,82,77,9.1,1
154,17,79,78,85,9.7,1
155,17,46,58,41,3.8,0
156,20,75,75,69,9.8,1
157,21,84,91,89,11.6,1
158,16,42,40,45,6.0,0
159,20,43,48,34,2.2,0
160,18,56,59,52,8.1,1
161,16,48,46,50,2.5,0
162,17,53,36,30,5.3,0
163,17,60,58,60,10.7,1
164,19,35,44,24,1.4,0
165,16,87,72,72,11.8,1
166,19,70,48,62,3.1,1
167,15,43,24,20,1.6,0
168,18,64,72,56,7.5,1
169,15,77,66,76,4.1,1
170,16,73,74,67,8.3,1
171,20,39,32,37,1.2,0
172,16,53,70,69,6.2,1
173,15,80,83,98,9.0,1
174,15,29,24,20,1.7,0
175,22,56,56,53,1.8,1
176,20,45,40,48,5.2,0
177,16,60,71,66,10.4,1
178,22,75,57,75,10.8,1
179,20,46,63,68,5.7,1
180,16,53,48,41,2.0,0
181,17,49,52,58,7.1,1
182,20,89,95,91,10.6,1
183,19,68,62,71,7.6,1
184,18,82,78,78,10.3,1
185,18,76,99,84,9.9,1
186,15,49,66,61,7.7,1
187,19,85,89,90,11.1,1
188,16,39,41,35,2.6,0
189,21,70,56,81,6.0,1
190,16,100,96,93,10.7,1
191,22,61,58,74,8.3,1
192,16,73,57,60,4.8,1
193,19,33,33,27,1.5,0
194,18,71,84,84,9.4,1
195,21,41,20,33,2.9,0
196,20,39,58,43,1.8,0
197,20,46,48,54,7.3,0
198,15,100,87,100,11.6,1
199,20,39,35,39,2.0,0
200,21,77,83,79,10.6,1
201,16,82,58,86,6.8,1
202,17,56,41,43,3.6,0
203,16,36,46,32,2.9,0
204,22,75,90,82,8.5,1
205,20,56,51,59,2.7,1
206,15,68,71,66,4.9,1
207,19,40,44,45,1.8,0
208,22,78,99,87,7.4,1
209,18,47,50,48,4.5,0
210,20,100,100,100,11.8,1
211,22,51,63,52,6.8,1
212,20,89,82,92,8.5,1
213,21,36,61,39,4.1,0
214,20,20,23,38,1.9,0
215,21,37,30,36,2.4,0
216,20,57,69,58,9.9,1
217,16,65,58,65,8.1,1
218,18,49,59,54,4.8,1
219,19,100,100,81,10.3,1
220,15,73,77,78,8.3,1
221,17,68,87,90,10.1,1
222,21,29,39,41,5.0,0
223,22,70,53,32,3.6,1
224,18,74,75,83,5.0,1
225,21,59,60,67,6.5,1
226,19,29,39,23,1.6,0
227,16,44,54,48,4.1,0
228,21,47,69,43,2.0,1
229,21,30,38,30,1.6,0
230,15,72,63,69,4.5,1
231,15,47,66,67,4.2,1
232,22,69,71,75,7.8,1
233,21,45,46,41,2.2,0
234,22,36,33,42,1.7,0
235,18,74,68,82,8.9,1
236,17,100,100,98,8.3,1
237,15,44,48,41,5.3,0
238,15,63,59,58,4.9,1
239,20,42,27,25,2.5,0
240,22,83,91,92,11.8,1
241,22,55,47,37,1.4,0
242,19,75,75,89,6.7,1
243,18,50,48,47,4.1,0
244,20,55,57,48,5.8,1
245,17,40,25,38,6.5,0
246,21,20,20,22,1.9,0
247,16,58,48,45,4.6,1
248,22,78,56,96,4.9,1
249,19,68,67,63,8.0,1
250,17,100,96,93,11.5,1
251,16,36,44,41,3.6,0
252,17,79,82,71,8.5,1
253,20,47,62,61,5.4,1
254,22,65,69,55,6.7,1
255,18,100,80,85,12.0,1
256,16,63,79,75,6.0,1
257,20,58,66,74,8.3,1
258,17,81,89,77,8.8,1
259,16,85,83,91,11.8,1
260,20,65,67,63,6.1,1
261,21,78,89,72,12.0,1
262,16,43,30,42,2.4,0
263,17,74,94,100,10.7,1
264,21,64,68,74,6.5,1
265,17,43,65,44,4.5,1
266,16,33,45,45,3.8,0
267,16,90,80,83,6.5,1
268,20,58,66,64,10.3,1
269,19,63,66,64,8.2,1
270,19,73,70,60,8.1,1
271,22,52,43,49,1.8,0
272,17,36,62,32,4.4,0
273,17,71,72,76,9.4,1
274,22,59,47,62,3.7,1
275,18,94,100,97,11.6,1
276,18,65,58,65,9.4,1
277,15,36,31,41,2.0,0
278,15,20,20,20,1.6,0
279,15,69,60,49,10.3,1
280,20,52,45,54,1.5,1
281,21,56,75,62,6.5,1
282,16,54,60,49,2.4,1
283,20,89,77,80,9.3,1
284,17,68,88,91,8.8,1
285,17,45,61,47,4.6,1
286,19,55,45,56,7.5,1
287,22,78,80,68,10.0,1
288,15,78,76,64,7.6,1
289,18,66,61,61,8.9,1
290,21,40,45,40,2.6,0
291,15,54,53,59,5.9,1
292,22,79,86,86,10.6,1
293,20,81,88,77,12.0,1
294,20,41,49,42,7.0,0
295,19,76,65,69,7.7,1
296,19,61,64,73,9.5,1
297,19,35,46,34,4.2,0
298,20,84,87,100,11.5,1
299,20,65,80,91,11.2,1
300,19,80,76,77,11.3,1
301,18,40,44,47,1.6,0
302,20,96,98,88,8.9,1
303,17,69,71,77,5.5,1
304,19,25,48,44,4.5,0
305,15,100,100,100,11.0,1
306,21,97,89,80,9.7,1
307,15,29,37,30,1.1,0
308,22,98,89,100,10.8,1
309,20,38,41,48,2.8,0
310,19,61,76,52,7.2,1
311,21,82,77,80,6.7,1
312,20,96,90,98,11.3,1
313,20,50,44,41,4.3,0
314,15,66,58,49,8.3,1
315,19,43,53,61,8.6,1
316,17,39,23,41,6.3,0
317,22,68,83,70,9.3,1
318,16,53,58,52,6.8,1
319,18,77,67,71,7.3,1
320,18,54,50,54,8.9,1
321,17,60,45,63,6.6,1
322,15,51,61,62,5.4,1
323,20,69,88,55,8.7,1
324,22,29,24,20,1.3,0
325,21,58,70,60,5.1,1
326,16,57,61,59,8.5,1
327,17,88,100,83,11.9,1
328,15,76,66,77,11.8,1
329,18,49,55,39,3.7,0
330,16,20,45,23,1.4,0
331,18,49,38,41,3.3,0
332,15,61,45,55,3.7,1
333,15,49,58,44,2.5,1
334,20,52,60,67,3.6,1
335,19,52,67,52,1.7,1
336,21,76,69,68,7.1,1
337,20,70,70,75,8.7,1
338,18,88,82,59,10.3,1
339,21,81,83,88,11.6,1
340,16,85,87,82,11.1,1
341,19,51,66,59,5.1,1
342,18,62,68,67,6.3,1
343,18,100,100,100,11.6,1
344,18,64,55,66,5.4,1
345,20,51,24,41,4.4,0
346,22,78,73,76,9.4,1
347,18,89,77,82,9.2,1
348,19,45,43,30,2.7,0
349,20,41,54,53,3.8,0
350,17,75,67,70,9.1,1
351,15,63,67,63,6.8,1
352,15,56,61,60,5.5,1
353,22,36,37,38,5.1,0
354,22,24,38,27,1.2,0
355,19,30,47,25,1.2,0
356,16,77,73,73,11.1,1
357,20,46,33,47,3.9,0
358,18,50,65,52,4.3,1
359,15,37,31,31,2.0,0
360,17,38,36,66,1.9,0
361,16,87,100,83,10.8,1
362,22,57,61,73,4.0,1
363,15,44,47,50,3.0,0
364,21,91,67,75,11.2,1
365,20,40,53,51,5.2,0
366,20,26,20,31,1.6,0
367,21,92,83,73,11.7,1
368,18,61,59,53,4.9,1
369,16,81,81,78,9.5,1
370,21,53,61,66,8.8,1
371,15,75,73,73,11.4,1
372,21,47,57,51,5.9,1
373,16,56,80,72,7.6,1
374,16,36,46,55,9.0,0
375,21,49,46,47,2.9,0
376,19,54,53,60,5.6,1
377,22,72,62,87,7.5,1
378,20,77,59,70,10.3,1
379,17,31,34,39,4.3,0
380,21,96,74,85,11.7,1
381,18,63,37,63,4.6,1
382,18,49,34,46,7.5,0
383,22,100,92,88,11.4,1
384,21,82,77,82,8.4,1
385,21,100,97,100,9.7,1
386,21,60,75,61,7.0,1
387,16,52,46,50,2.2,0
388,21,91,82,81,11.6,1
389,18,48,42,45,6.6,0
390,21,42,70,76,6.1,1
391,22,29,33,31,2.2,0
392,17,56,36,43,4.8,0
393,16,49,51,69,5.8,1
394,16,36,39,20,1.2,0
395,18,52,47,58,6.7,1
396,21,85,64,83,7.9,1
397,18,58,60,64,5.9,1
398,16,61,67,74,7.4,1
399,16,50,50,49,3.9,0
400,21,68,45,46,7.5,1
401,19,66,70,78,11.1,1
402,16,31,37,42,3.0,0
403,21,46,62,37,5.7,0
404,17,60,56,68,7.1,1
405,15,90,96,100,10.5,1
406,22,42,37,43,5.5,0
407,15,81,80,85,9.8,1
408,22,58,57,66,7.2,1
409,19,74,82,79,9.5,1
410,22,69,76,57,7.0,1
411,19,91,92,88,10.6,1
412,16,93,72,75,9.5,1
413,21,52,49,51,2.8,1
414,20,56,66,58,6.9,1
415,19,64,67,62,11.5,1
416,21,100,100,100,11.1,1
417,18,45,44,33,2.6,0
418,17,74,54,69,7.4,1
419,16,44,63,50,5.4,1
420,22,70,68,57,4.6,1
421,22,48,65,55,8.0,1
422,21,71,69,81,10.1,1
423,17,57,55,54,7.2,1
424,16,69,74,68,7.9,1
425,22,40,39,37,1.0,0
426,19,48,47,45,2.7,0
427,20,67,60,60,8.3,1
428,18,64,62,65,5.7,1
429,18,62,60,65,6.7,1
430,21,66,78,73,8.6,1
431,16,53,57,42,4.4,1
432,17,66,58,64,8.1,1
433,17,45,61,63,5.8,1
434,22,88,86,75,10.5,1
435,21,44,38,50,4.9,0
436,18,48,56,42,7.1,0
437,19,38,32,48,3.3,0
438,18,77,62,65,6.4,1
439,15,92,100,86,11.9,1
440,20,78,73,70,7.0,1
441,16,58,48,38,1.2,0
442,19,59,58,55,7.9,1
443,17,55,50,60,4.1,1
444,20,32,42,41,5.3,0
445,21,74,84,81,9.0,1
446,22,86,79,78,7.7,1
447,15,67,81,69,8.8,1
448,19,66,54,72,2.8,1
449,15,46,40,64,4.7,1
450,16,58,62,55,6.5,1
451,17,65,58,53,3.8,1
452,15,37,34,43,1.5,0
453,17,47,51,35,3.0,0
454,21,65,41,61,3.5,1
455,20,37,41,49,2.3,0
456,15,100,94,100,11.5,1
457,20,32,27,44,2.0,0
458,18,45,51,45,6.1,0
459,18,44,34,42,2.7,0
460,15,100,100,91,11.5,1
461,16,55,77,51,3.3,1
462,17,100,100,86,8.8,1
463,20,49,48,59,6.0,1
464,21,25,35,27,1.8,0
465,19,87,94,84,10.4,1
466,22,58,57,45,4.0,1
467,17,34,38,37,2.2,0
468,18,44,53,48,6.0,0
469,19,77,83,73,10.1,1
470,16,82,90,85,8.8,1
471,17,32,27,21,1.3,0
472,22,37,54,47,2.1,0
473,18,39,38,37,2.4,0
474,19,100,100,100,11.1,1
475,17,38,64,63,2.0,1
476,15,20,25,28,2.8,0
477,21,50,42,62,2.9,1
478,15,50,41,58,7.8,0
479,22,41,42,53,1.7,0
480,18,61,89,74,7.9,1
481,20,56,56,60,6.3,1
482,19,47,53,33,3.0,0
483,15,71,65,67,9.9,1
484,17,30,43,20,2.1,0
485,15,86,97,88,9.4,1
486,17,21,23,20,2.9,0
487,15,74,77,80,8.7,1
488,22,68,76,70,7.0,1
489,15,86,87,90,6.8,1
490,17,84,100,91,11.1,1
491,17,75,96,86,9.5,1
492,21,68,75,60,7.4,1
493,21,89,100,100,9.7,1
494,20,39,37,53,3.5,0
495,17,60,46,53,3.0,1
496,15,50,28,30,3.0,0
497,16,100,98,100,11.3,1
498,17,84,81,76,8.0,1
499,20,64,64,61,5.9,1
500,16,87,80,87,8.9,1
501,21,59,60,58,6.4,1
502,18,68,59,68,2.8,1
503,16,50,42,33,1.8,0
504,16,72,72,66,4.7,1
505,17,66,54,84,7.7,1
506,21,57,70,77,8.7,1
507,18,36,27,30,2.1,0
508,15,65,50,51,5.7,1
509,15,20,24,29,3.3,0
510,21,63,62,61,6.2,1
511,20,82,75,85,10.7,1
512,18,73,74,72,10.2,1
513,20,72,65,67,9.9,1
514,21,74,75,62,10.0,1
515,18,88,77,70,6.2,1
516,17,36,63,39,2.3,0
517,18,26,20,26,2.4,0
518,17,97,82,78,10.2,1
519,21,41,29,44,7.1,0
520,15,63,62,73,9.7,1
521,17,33,46,45,7.2,0
522,16,79,96,87,9.6,1
523,22,61,51,66,7.3,1
524,21,39,44,57,1.4,0
525,19,100,100,100,10.9,1
526,22,51,72,78,10.4,1
527,22,82,67,68,9.5,1
528,22,42,54,37,3.3,0
529,15,73,63,67,6.7,1
530,15,45,51,49,2.9,0
531,15,77,87,74,11.1,1
532,16,82,53,79,8.5,1
533,22,67,74,55,7.5,1
534,16,49,27,36,4.1,0
535,18,61,65,67,8.1,1
536,15,68,66,59,6.2,1
537,19,65,84,62,8.8,1
538,22,36,37,27,3.8,0
539,16,61,67,52,1.1,1
540,19,56,65,53,4.3,1
541,19,28,43,48,3.9,0
542,18,77,81,83,10.9,1
543,17,32,54,63,8.9,0
544,21,34,50,40,9.1,0
545,18,58,72,62,8.5,1
546,19,78,94,95,10.3,1
547,17,63,90,63,9.2,1
548,20,77,78,66,8.2,1
549,20,41,47,47,5.1,0
550,16,66,58,53,6.2,1
551,21,37,43,49,1.6,0
552,22,43,53,50,2.6,0
553,17,65,65,75,4.4,1
554,17,58,53,54,6.4,1
555,21,57,44,54,5.7,1
556,15,74,85,84,10.8,1
557,18,48,61,59,3.5,1
558,19,41,44,60,2.8,0
559,20,52,66,56,5.8,1
560,18,51,64,59,2.8,1
561,17,59,67,67,3.3,1
562,15,33,36,37,5.1,0
563,15,69,67,62,8.3,1
564,21,54,45,53,2.4,1
565,15,33,42,54,4.3,0
566,17,61,62,63,5.6,1
567,16,40,59,30,6.5,0
568,20,74,67,72,8.7,1
569,22,68,80,59,4.6,1
570,22,58,52,49,2.6,1
571,19,49,43,46,8.1,0
572,17,82,84,81,10.6,1
573,16,37,47,30,2.0,0
574,17,60,71,85,4.6,1
575,20,91,90,82,10.0,1
576,21,63,66,59,8.6,1
577,17,100,100,100,8.7,1
578,22,71,70,81,9.8,1
579,15,85,100,88,10.5,1
580,22,39,37,45,2.2,0
581,18,78,72,82,11.8,1
582,16,48,51,47,5.8,0
583,17,44,64,57,10.2,1
584,17,53,58,63,6.6,1
585,20,50,53,62,3.6,1
586,21,93,86,88,10.0,1
587,22,74,65,65,5.9,1
588,21,20,24,20,1.4,0
589,19,66,63,72,10.8,1
590,15,79,86,74,10.0,1
591,20,96,88,94,8.9,1
592,19,64,69,56,7.0,1
593,21,32,43,32,2.2,0
594,22,90,83,81,10.1,1
595,16,67,67,62,9.5,1
596,22,23,24,38,1.0,0
597,17,94,90,88,8.6,1
598,20,56,53,34,6.5,0
599,19,57,53,48,5.4,1
600,19,71,72,63,10.3,1
601,18,35,33,49,3.2,0
602,17,52,65,64,6.5,1
603,22,77,73,66,7.4,1
604,19,82,88,86,10.7,1
605,15,89,80,82,8.4,1
606,19,64,62,68,2.6,1
607,20,100,95,80,10.0,1
608,21,37,49,63,3.6,0
609,21,76,78,92,5.3,1
610,15,97,87,75,9.2,1
611,18,69,81,70,11.0,1
612,18,84,90,96,9.5,1
613,17,83,93,89,11.6,1
614,19,32,29,46,2.4,0
615,17,44,50,38,1.4,0
616,19,50,55,46,6.4,1
617,18,68,75,78,11.5,1
618,21,46,37,47,2.0,0
619,18,72,66,74,11.5,1
620,15,42,26,23,2.3,0
621,18,77,100,74,11.5,1
622,21,46,34,47,3.8,0
623,22,68,56,60,6.4,1
624,16,53,58,56,2.8,1
625,18,80,66,75,10.5,1
626,21,81,90,93,8.1,1
627,20,44,42,45,1.4,0
628,18,80,70,79,11.0,1
629,21,55,48,48,8.4,1
630,15,100,100,100,8.7,1
631,19,81,53,74,7.7,1
632,15,54,44,64,6.2,1
633,19,100,100,89,11.6,1
634,20,100,100,100,11.5,1
635,21,70,72,55,6.9,1
636,20,53,65,66,3.3,1
637,19,66,62,40,3.1,1
638,22,89,83,89,8.1,1
639,22,87,78,84,11.5,1
640,16,87,74,75,10.9,1
641,17,65,59,60,7.2,1
642,18,63,73,82,9.6,1
643,20,76,70,83,10.7,1
644,17,80,85,62,8.1,1
645,18,50,53,53,3.9,1
646,15,57,64,66,9.9,1
647,19,76,77,68,7.0,1
648,18,58,73,74,10.8,1
649,16,42,50,30,5.4,0
650,17,83,70,76,9.3,1
651,17,66,67,75,9.1,1
652,16,62,36,49,3.9,0
653,21,58,65,57,6.2,1
654,19,89,85,90,10.2,1
655,20,68,70,92,7.5,1
656,18,64,42,52,6.7,1
657,15,70,76,71,6.5,1
658,18,60,55,40,2.7,1
659,21,68,71,78,9.9,1
660,17,67,71,71,8.1,1
661,17,84,87,84,7.9,1
662,17,53,30,29,6.7,0
663,19,100,80,91,11.4,1
664,18,57,68,61,10.1,1
665,19,20,32,33,2.8,0
666,21,64,67,53,5.2,1
667,21,72,84,69,10.1,1
668,16,20,28,28,2.0,0
669,21,63,55,60,6.7,1
670,22,75,67,55,9.7,1
671,16,71,60,56,5.7,1
672,21,65,75,65,3.8,1
673,15,74,57,62,5.1,1
674,21,86,63,74,8.2,1
675,19,87,74,80,11.9,1
676,17,46,45,55,5.1,0
677,21,75,84,75,9.1,1
678,17,22,26,20,2.1,0
679,15,44,48,47,2.8,0
680,21,46,29,31,2.0,0
681,21,51,37,42,7.8,0
682,17,65,55,51,8.0,1
683,19,38,44,37,3.1,0
684,15,21,45,43,5.0,0
685,21,50,31,42,4.9,0
686,16,66,60,66,11.1,1
687,20,96,92,100,11.6,1
688,15,47,51,48,3.9,0
689,16,94,100,89,9.8,1
690,22,66,73,51,11.6,1
691,22,78,82,89,8.5,1
692,21,84,85,91,8.0,1
693,20,83,82,85,6.7,1
694,20,45,39,62,1.8,0
695,19,25,49,56,3.0,0
696,18,76,82,86,9.1,1
697,20,72,55,50,2.7,1
698,15,73,63,75,9.4,1
699,22,86,93,99,10.9,1
700,19,52,48,55,5.4,1
701,15,58,60,70,6.5,1
702,22,68,64,69,4.5,1
703,20,77,68,76,7.7,1
704,20,48,45,40,5.0,0
705,21,56,47,50,4.1,1
706,16,69,82,74,8.9,1
707,17,71,82,84,6.2,1
708,20,83,66,70,9.6,1
709,17,34,36,36,1.7,0
710,20,49,44,34,3.9,0
711,21,43,62,68,2.3,1
712,17,94,73,86,11.8,1
713,22,82,74,74,10.8,1
714,17,75,73,74,8.0,1
715,16,40,27,24,1.9,0
716,21,36,24,39,4.0,0
717,22,60,57,47,5.6,1
718,16,45,51,39,3.3,0
719,15,31,28,26,1.3,0
720,17,45,50,61,1.9,1
721,22,93,94,84,7.9,1
722,20,66,71,58,10.5,1
723,17,81,77,79,11.7,1
724,21,53,52,66,6.8,1
725,16,58,54,54,5.9,1
726,17,52,69,43,4.8,1
727,22,39,41,45,4.3,0
728,20,47,53,66,3.1,1
729,21,84,74,74,10.1,1
730,19,35,36,57,4.1,0
731,17,56,39,54,2.5,0
732,22,48,43,47,3.1,0
733,16,64,61,58,4.1,1
734,15,63,65,30,6.4,1
735,22,78,77,73,8.7,1
736,19,91,93,100,9.5,1
737,21,100,92,100,10.1,1
738,22,54,54,51,3.7,1
739,18,51,52,67,6.2,1
740,15,69,64,71,9.2,1
741,20,84,97,95,10.8,1
742,20,29,34,43,1.2,0
743,15,50,69,72,7.4,1
744,18,61,79,43,2.7,1
745,15,20,30,24,1.7,0
746,18,34,29,52,4.5,0
747,18,33,24,26,1.2,0
748,22,51,45,50,7.1,0
749,20,87,81,67,9.1,1
750,16,51,37,44,6.8,0
751,21,78,78,94,9.1,1
752,20,59,60,74,8.9,1
753,22,87,75,85,9.4,1
754,16,87,92,93,6.8,1
755,18,43,36,35,2.2,0
756,22,55,54,69,6.8,1
757,16,42,61,41,1.1,0
758,22,94,98,87,9.8,1
759,20,95,78,89,9.7,1
760,19,51,46,45,1.9,0
761,21,37,34,34,3.1,0
762,21,66,71,66,9.2,1
763,21,91,80,90,10.7,1
764,17,34,53,39,6.9,0
765,20,75,72,63,10.3,1
766,18,83,75,67,7.2,1
767,22,54,57,45,5.9,1
768,17,93,89,100,11.9,1
769,15,89,100,90,9.5,1
770,17,35,32,51,2.0,0
771,18,46,35,60,3.6,0
772,16,71,82,65,9.0,1
773,16,74,59,60,7.5,1
774,15,89,58,82,11.1,1
775,16,96,84,84,10.6,1
776,21,28,22,26,1.6,0
777,18,20,40,25,2.7,0
778,16,52,46,46,3.4,0
779,15,72,52,69,7.0,1
780,17,72,55,60,6.3,1
781,18,55,43,37,3.7,0
782,16,67,59,73,8.4,1
783,15,88,88,69,9.5,1
784,17,62,63,61,5.8,1
785,16,70,78,56,2.2,1
786,19,30,32,34,1.2,0
787,18,88,78,68,9.1,1
788,17,61,76,62,8.6,1
789,19,54,38,38,2.9,0
790,15,20,37,26,1.7,0
791,16,37,46,53,1.2,0
792,16,72,75,73,10.9,1
793,22,63,71,62,7.2,1
794,22,67,54,70,5.3,1
795,18,97,100,100,12.0,1
796,21,83,78,82,10.8,1
797,17,52,48,40,4.8,0
798,18,44,44,58,5.6,0
799,22,70,52,62,7.0,1
800,17,39,66,68,4.4,1
801,17,63,74,69,8.2,1
802,16,44,54,49,3.0,0
803,21,95,87,72,11.6,1
804,19,49,68,49,2.7,1
805,19,51,58,60,7.7,1
806,16,62,51,53,8.6,1
807,20,42,39,41,3.0,0
808,21,85,73,91,9.4,1
809,18,100,100,95,9.3,1
810,22,74,74,93,8.6,1
811,21,67,46,51,8.9,1
812,15,50,71,52,6.7,1
813,21,100,100,78,11.8,1
814,18,48,48,36,4.2,0
815,21,58,71,59,4.2,1
816,22,33,20,25,2.0,0
817,17,57,39,60,5.3,1
818,18,94,83,80,10.7,1
819,17,80,70,80,8.9,1
820,21,86,94,97,9.0,1
821,15,83,86,84,9.5,1
822,17,34,37,55,3.0,0
823,22,75,60,59,4.2,1
824,19,23,27,20,1.1,0
825,22,33,35,40,3.6,0
826,15,31,21,29,3.7,0
827,15,56,54,55,3.0,1
828,19,59,61,56,4.6,1
829,19,53,64,58,7.7,1
830,22,75,75,67,9.2,1
831,21,65,89,84,10.0,1
832,16,80,58,69,8.6,1
833,15,28,48,38,2.2,0
834,19,57,53,57,5.7,1
835,17,53,38,53,7.8,0
836,18,74,85,76,8.8,1
837,16,89,77,80,9.1,1
838,20,64,66,71,7.2,1
839,16,42,55,43,4.4,0
840,20,25,36,29,5.4,0
841,20,75,78,75,11.1,1
842,17,72,72,91,7.9,1
843,21,100,86,92,11.2,1
844,15,26,45,34,3.3,0
845,17,83,67,67,4.1,1
846,21,67,52,73,3.1,1
847,15,76,57,78,4.0,1
848,19,49,48,31,3.4,0
849,16,72,65,70,5.9,1
850,22,56,68,71,9.1,1
851,17,57,58,53,3.3,1
852,19,71,88,85,11.3,1
853,15,29,55,44,2.1,0
854,18,61,51,63,4.5,1
855,16,56,62,50,4.0,1
856,16,46,49,51,3.3,0
857,19,76,78,64,7.3,1
858,15,29,29,28,2.4,0
859,21,34,42,41,5.3,0
860,22,75,59,50,7.8,1
861,16,79,98,99,11.7,1
862,22,45,36,26,2.1,0
863,18,45,45,52,2.6,0
864,20,80,95,88,9.7,1
865,20,60,60,74,6.3,1
866,16,52,53,55,5.5,1
867,19,60,48,49,6.9,1
868,22,58,34,38,5.2,0
869,21,67,63,68,7.2,1
